tanggal,menu,kategori,harga,terjual
2026-08-19,Nasi Goreng,Makanan,12000,19.0
2026-08-27,Mie Ayam,Makanan,10000,21.0
2026-09-02,Teh Hangat,Minuman,3000,12.0
2026-08-28,Kerupuk,Snack,2000,33.0
2026-09-04,Es Jeruk,Minuman,5000,22.0
2026-09-01,Teh Hangat,Minuman,3000,14.0
2026-08-26,Teh Hangat,Minuman,3000,11.0
2026-08-31,Kerupuk,Snack,2000,35.0
2026-08-24,Mie Ayam,Makanan,10000,
2026-08-17,Es Jeruk,Minuman,5000,
2026-09-01,Es Jeruk,Minuman,5000,24.0
2026-09-04,Nasi Goreng,Makanan,12000,28.0
2026-08-19,Kerupuk,Snack,2000,37.0
2026-08-25,Es Teh,Minuman,4000,44.0
2026-09-02,Kerupuk,Snack,2000,34.0
