id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran
TRX0018,05/08/2026,Kerupuk,SNACK,9,2000,,QRIS
TRX0037,2026-08-10,Kerupuk,Snack,,2000,Pak Agus,Tunai
TRX0038,10/08/2026,Mie Ayam,MAKANAN,2,10000,Pak Joko,Transfer
TRX0028,7 Agustus 2026,Mie Ayam,MAKANAN,4,10000,Pak Joko,QRIS
TRX0016,05/08/2026,Nasi Goreng,makanan,11,Rp12.000,Bu Sri,Transfer
TRX0040,2026-08-11,Jus Alpukat,minuman,1 pcs,Rp8.000,Bu Wati,Tunai
TRX0021,6 Agustus 2026,Jus Alpukat,MINUMAN,13,8000,Pak Joko,QRIS
TRX0009,04/08/2026,Bakso,Makanan,6,11000,Bu Wati,QRIS
TRX0028,7 Agustus 2026,Mie Ayam,MAKANAN,4,10000,Pak Joko,QRIS
TRX0013,04/08/2026,Bakso,Makanan,5,11000,Pak Joko,QRIS
TRX0001,2026-08-03,Mie Ayam,MAKANAN,1,10000,Bu Wati,QRIS
TRX0003,3 Agustus 2026,Nasi Goreng,MAKANAN,9,12000,Pak Joko,Transfer
TRX0063,2026-08-14,Keripik Singkong,Snack,9,3000,Pak Agus,Tunai
TRX0065,14/08/2026,Es Jeruk,Minuman,8,4000,Bu Wati,QRIS
TRX0044,2026-08-11,Es Teh,MINUMAN,9,3000,Bu Sri,Tunai
TRX0039,10 Agustus 2026,Nasi Uduk,makanan,6,8000,Bu Wati,QRIS
TRX0030,7 Agustus 2026,Nasi Goreng,Makanan,2,12000,,QRIS
TRX0049,2026-08-12,Es Teh,MINUMAN,14,3000,Bu Sri,QRIS
TRX0064,14 Agustus 2026,Kerupuk,Snack,9,2000,Bu Wati,QRIS
TRX0050,2026-08-12,Roti Bakar,MAKANAN,500,7000,Pak Joko,QRIS
TRX0056,13 Agustus 2026,Jus Alpukat,MINUMAN,3,8000,Pak Joko,QRIS
TRX0042,2026-08-11,Roti Bakar,Makanan,9,7000,Pak Agus,Tunai
TRX0024,2026-08-06,Nasi Uduk,Makanan,1,8000,Bu Sri,Tunai
TRX0057,13/08/2026,Jus Alpukat,MINUMAN,14,8000,Bu Sri,Tunai
TRX0053,2026-08-13,Teh Botol,minuman,9,Rp5.000,Bu Sri,QRIS
TRX0041,2026-08-11,Jus Alpukat,minuman,3,,Bu Wati,Tunai
TRX0058,13 Agustus 2026,Kerupuk,SNACK,6,2000,Pak Agus,QRIS
TRX0036,10/08/2026,Jus Alpukat,MINUMAN,6 pcs,8000,Bu Wati,QRIS
TRX0002,2026-08-03,Jus Alpukat,Minuman,2,Rp8.000,Pak Agus,Tunai
